Model,ROUGE-1,ROUGE-2,ROUGE-L,BLEU
T5-small,0.11810288122758053,0.013870652707452677,0.09053136202108551,0.0
FLAN-T5-small,0.019929610756948886,0.0030394265232974913,0.017774199687868752,0.0
